HH_ID	STATE	HR	DISTRICT	REGION_TYPE	STRATUM	PSU_ID	MONTH_SLOT	MONTH	RESPONSE_STATUS	REASON_FOR_NON_RESPONSE	HH_WEIGHT_MS	HH_WEIGHT_FOR_COUNTRY_MS	HH_WEIGHT_FOR_STATE_MS	HH_NON_RESPONSE_MS	HH_NON_RESPONSE_FOR_COUNTRY_MS	HH_NON_RESPONSE_FOR_STATE_MS	AGE_GROUP	OCCUPATION_GROUP	EDUCATION_GROUP	GENDER_GROUP	SIZE_GROUP	TOTAL_INCOME	INCOME_OF_ALL_MEMBERS_FROM_ALL_SOURCES	INCOME_OF_ALL_MEMBERS_FROM_WAGES	INCOME_OF_HOUSEHOLD_FROM_ALL_SOURCES	INCOME_OF_HOUSEHOLD_FROM_RENT	INCOME_OF_HOUSEHOLD_FROM_SELF_PRODUCTION	INCOME_OF_HOUSEHOLD_FROM_PRIVATE_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_BUSINESS_PROFIT
15094346	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Grown-up - dominant	Organised Farmers	Matriculates majority household	Male Majority	3 Members	0	0	0	0	0	0	0	0
47972025	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Youngsters - dominant	Industrial Workers	Matriculates minority household	Male Majority	5 Members	22000	22000	22000	0	0	0	0	0
27779419	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Grown-up - dominant	Wage Labourers	Households of some literates	Male Majority	3 Members	5300	5300	5300	0	0	0	0	0
10655277	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Others households of Grown-ups	Self-employed Professionals	Matriculates minority household	Balanced	6 Members	10300	9500	9500	800	0	800	0	0
79350401	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Balanced households with no Seniors	Organised Farmers	Graduates majority household	Balanced	4 Members	8750	0	0	8750	0	650	0	8100
85816179	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Grown-up - dominant	Agricultural Labourers	Households of some literates	Female Majority	5 Members	8200	2200	2200	6000	0	0	0	6000
25351536	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Grown-up - dominant	Small/Marginal Farmers	Matriculates minority household	Male Dominated	4 Members	14500	6000	6000	8500	0	500	0	8000
30037239	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Balanced households with no Seniors	Agricultural Labourers	Households of all literates	Female Dominated	4 Members	4500	4500	4500	0	0	0	0	0
82719262	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Non-Response	Household not found	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99
38052200	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Others households of Grown-ups	Industrial Workers	Households of some literates	Balanced	4 Members	5500	5500	5500	0	0	0	0	0
90178552	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Other households of the Young	Organised Farmers	Matriculates minority household	Male Majority	5 Members	18300	4000	4000	14300	0	800	0	13500
73143176	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Accepted	No Failure	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Others households of Grown-ups	Wage Labourers	Matriculates dominated household	Balanced	8-10 Members	12000	12000	12000	0	0	0	0	0
17469058	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	May 2014	Jan 2014	Non-Response	Not accepted	4911.672977	4911.672977	4911.672977	1.151111	1.151111	1.151111	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99
17322257	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with no Seniors	Small Traders/Hawkers	Matriculates majority household	Balanced	4 Members	12500	7500	7500	5000	0	5000	0	0
13807056	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Others households of Grown-ups	White-collar Employees	Graduates minority household	Balanced	4 Members	12000	12000	12000	0	0	0	0	0
48243447	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Grown-up - dominant	Organised Farmers	Matriculates majority household	Female Majority	7 Members	5000	0	0	5000	0	0	0	5000
42346033	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Other households of the Young	Agricultural Labourers	Households of some literates	Female Majority	6 Members	6400	6400	6400	0	0	0	0	0
39923120	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Grown-up - dominant	Organised Farmers	Matriculates majority household	Female Majority	5 Members	0	0	0	0	0	0	0	0
58208501	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Non-Response	Locked	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99
20502167	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Other households of the Young	Agricultural Labourers	Matriculates majority household	Male Dominated	8-10 Members	0	0	0	0	0	0	0	0
95309370	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Others households of Grown-ups	Agricultural Labourers	Matriculates minority household	Female Dominated	7 Members	8700	8700	8700	0	0	0	0	0
58107969	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Grown-up - dominant	Organised Farmers	Matriculates majority household	Female Majority	6 Members	6500	0	0	6500	0	1500	0	5000
75526943	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Others households of Grown-ups	Agricultural Labourers	Matriculates minority household	Balanced	6 Members	4800	4800	4800	0	0	0	0	0
73659045	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Children - dominant	Organised Farmers	Households of some literates	Female Majority	5 Members	800	0	0	800	0	800	0	0
60616041	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Others households of Grown-ups	Agricultural Labourers	Matriculates minority household	Male Majority	8-10 Members	13300	13300	13300	0	0	0	0	0
57052418	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with no Seniors	Agricultural Labourers	Households of all illiterates	Balanced	4 Members	9300	9300	9300	0	0	0	0	0
65351683	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Non-Response	Locked	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99
54287040	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9810	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with no Seniors	Agricultural Labourers	Households of all illiterates	Male Dominated	4 Members	3600	3600	3600	0	0	0	0	0
33759995	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Grown-up - dominant	Wage Labourers	Households of all illiterates	Male Majority	3 Members	9000	9000	9000	0	0	0	0	0
23930294	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Other households of the Young	Wage Labourers	Households of some literates	Male Dominated	5 Members	10500	10500	10500	0	0	0	0	0
31512368	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Youngsters - dominant	Wage Labourers	Households of all illiterates	Male Majority	6 Members	13500	13500	13500	0	0	0	0	0
95909857	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with Seniors	Wage Labourers	Households of all illiterates	Female Dominated	4 Members	9000	9000	9000	0	0	0	0	0
76454802	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Grown-up - dominant	Small Traders/Hawkers	Matriculates minority household	Male Majority	5 Members	21000	21000	21000	0	0	0	0	0
13096806	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Other households of the Young	Support Staff	Graduates majority household	Female Majority	5 Members	14000	14000	14000	0	0	0	0	0
26915726	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Grown-up - dominant	Wage Labourers	Households of all literates	Female Majority	3 Members	7000	7000	7000	0	0	0	0	0
40802995	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Grown-up - dominant	Wage Labourers	Households of all illiterates	Male Majority	3 Members	6000	6000	6000	0	0	0	0	0
76883604	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with no Seniors	Support Staff	Graduates minority household	Female Majority	6 Members	7000	7000	7000	0	0	0	0	0
18635826	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Grown-up - dominant	Support Staff	Matriculates majority household	Male Majority	3 Members	10500	10500	10500	0	0	0	0	0
77149851	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with no Seniors	Small Traders/Hawkers	Households of some literates	Female Dominated	4 Members	8000	8000	8000	0	0	0	0	0
59278350	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with no Seniors	Support Staff	Households of some literates	Female Dominated	4 Members	9000	9000	9000	0	0	0	0	0
19346260	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with no Seniors	Wage Labourers	Matriculates majority household	Male Dominated	4 Members	6000	6000	6000	0	0	0	0	0
23546888	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Grown-up - dominant	White-collar Employees	Matriculates majority household	Balanced	4 Members	17000	17000	17000	0	0	0	0	0
27759842	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with no Seniors	Small Traders/Hawkers	Households of all illiterates	Balanced	4 Members	12000	12000	12000	0	0	0	0	0
60462114	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Other households of the Young	Support Staff	Households of all illiterates	Balanced	4 Members	9000	9000	9000	0	0	0	0	0
17942052	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Other households of the Young	Wage Labourers	Households of all literates	Male Majority	5 Members	8000	8000	8000	0	0	0	0	0
16419302	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with Seniors	Home-based Workers	Households of some literates	Only Females	4 Members	6000	6000	6000	0	0	0	0	0
80462935	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with no Seniors	Wage Labourers	Households of all literates	Balanced	4 Members	8000	8000	8000	0	0	0	0	0
68912202	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Others households of Grown-ups	White-collar Employees	Households of some literates	Female Dominated	5 Members	12000	12000	12000	0	0	0	0	0
48860776	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with no Seniors	Wage Labourers	Households of some literates	Balanced	4 Members	12500	12500	12500	0	0	0	0	0
87481196	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Youngsters - dominant	Wage Labourers	Not applicable	Balanced	2 Members	6000	6000	6000	0	0	0	0	0
28396100	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Other households of the Young	Wage Labourers	Households of all illiterates	Balanced	4 Members	8500	8500	8500	0	0	0	0	0
59989805	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Balanced households with no Seniors	Support Staff	Households of all illiterates	Only Females	2 Members	5000	5000	5000	0	0	0	0	0
81901992	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Grown-up - dominant	Wage Labourers	Households of all illiterates	Male Majority	3 Members	16000	16000	16000	0	0	0	0	0
71868909	Karnataka	HR 61	Davanagere	RURAL	HR 61_RURAL_R	PSU_ID_9818	Mar 2014	Jan 2014	Accepted	No Failure	3635.829954	3635.829954	3635.829954	1.155361	1.155361	1.155361	Other households of the Young	Wage Labourers	Households of all illiterates	Male Majority	7 Members	22000	22000	22000	0	0	0	0	0
19725931	Karnataka	HR 62	Bellary	RURAL	HR 62_RURAL_R	PSU_ID_9847	Feb 2014	Jan 2014	Non-Response	Household not found	4087.139066	4087.139066	4087.139066	1.514286	1.514286	1.514286	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99
96476003	Karnataka	HR 62	Bellary	RURAL	HR 62_RURAL_R	PSU_ID_9847	Feb 2014	Jan 2014	Accepted	No Failure	4087.139066	4087.139066	4087.139066	1.514286	1.514286	1.514286	Youngsters - dominant	Small/Marginal Farmers	Households of some literates	Male Dominated	8-10 Members	7200	7200	7200	0	0	0	0	0
64884544	Karnataka	HR 62	Bellary	RURAL	HR 62_RURAL_R	PSU_ID_9847	Feb 2014	Jan 2014	Accepted	No Failure	4087.139066	4087.139066	4087.139066	1.514286	1.514286	1.514286	Grown-up - dominant	Wage Labourers	Households of all illiterates	Female Majority	3 Members	4200	4200	4200	0	0	0	0	0
84308246	Karnataka	HR 62	Bellary	RURAL	HR 62_RURAL_R	PSU_ID_9847	Feb 2014	Jan 2014	Non-Response	Household not found	4087.139066	4087.139066	4087.139066	1.514286	1.514286	1.514286	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99
15468468	Karnataka	HR 62	Bellary	RURAL	HR 62_RURAL_R	PSU_ID_9847	Feb 2014	Jan 2014	Non-Response	Household not found	4087.139066	4087.139066	4087.139066	1.514286	1.514286	1.514286	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99
33633035	Karnataka	HR 62	Bellary	RURAL	HR 62_RURAL_R	PSU_ID_9847	Feb 2014	Jan 2014	Non-Response	Household not found	4087.139066	4087.139066	4087.139066	1.514286	1.514286	1.514286	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99
90210741	Karnataka	HR 62	Bellary	RURAL	HR 62_RURAL_R	PSU_ID_9847	Feb 2014	Jan 2014	Non-Response	Household not found	4087.139066	4087.139066	4087.139066	1.514286	1.514286	1.514286	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99
73682244	Karnataka	HR 62	Bellary	RURAL	HR 62_RURAL_R	PSU_ID_9847	Feb 2014	Jan 2014	Non-Response	Household not found	4087.139066	4087.139066	4087.139066	1.514286	1.514286	1.514286	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99
92344058	Karnataka	HR 62	Bellary	RURAL	HR 62_RURAL_R	PSU_ID_9847	Feb 2014	Jan 2014	Accepted	No Failure	4087.139066	4087.139066	4087.139066	1.514286	1.514286	1.514286	Youngsters - dominant	Small/Marginal Farmers	Households of all illiterates	Male Majority	5 Members	5000	5000	5000	0	0	0	0	0
17156055	Karnataka	HR 62	Bellary	RURAL	HR 62_RURAL_R	PSU_ID_9847	Feb 2014	Jan 2014	Non-Response	Household not found	4087.139066	4087.139066	4087.139066	1.514286	1.514286	1.514286	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99
