HH_ID	STATE	HR	DISTRICT	REGION_TYPE	STRATUM	PSU_ID	MONTH_SLOT	MONTH	RESPONSE_STATUS	REASON_FOR_NON_RESPONSE	FAMILY_SHIFTED	HH_WEIGHT_MS	HH_WEIGHT_FOR_COUNTRY_MS	HH_WEIGHT_FOR_STATE_MS	HH_NON_RESPONSE_MS	HH_NON_RESPONSE_FOR_COUNTRY_MS	HH_NON_RESPONSE_FOR_STATE_MS	AGE_GROUP	OCCUPATION_GROUP	EDUCATION_GROUP	GENDER_GROUP	SIZE_GROUP	TOTAL_INCOME	INCOME_OF_ALL_MEMBERS_FROM_ALL_SOURCES	INCOME_OF_ALL_MEMBERS_FROM_WAGES	INCOME_OF_ALL_MEMBERS_FROM_PENSION	INCOME_OF_ALL_MEMBERS_FROM_DIVIDEND	INCOME_OF_ALL_MEMBERS_FROM_INTEREST	INCOME_OF_ALL_MEMBERS_FROM_FD_PF_INSURANCE	INCOME_OF_HOUSEHOLD_FROM_ALL_SOURCES	INCOME_OF_HOUSEHOLD_FROM_RENT	INCOME_OF_HOUSEHOLD_FROM_SELF_PRODUCTION	INCOME_OF_HOUSEHOLD_FROM_PRIVATE_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_GOVERNMENT_TRANSFERS	INCOME_OF_HOUSEHOLD_FROM_IN_KIND_TRANSFERS_FROM_GOVERNMENT	INCOME_OF_HOUSEHOLD_FROM_IN_KIND_TRANSFERS_FROM_NGO	INCOME_OF_HOUSEHOLD_FROM_BUSINESS_PROFIT	INCOME_OF_HOUSEHOLD_FROM_SALE_OF_ASSET	INCOME_OF_HOUSEHOLD_FROM_GAMBLING
62962649	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Youngsters - dominant	Organised Farmers	Households of all literates	Female Majority	5 Members	28000	0	0	0	0	0	0	28000	0	0	0	0	0	0	28000	0	0
84349837	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Balanced households with no Seniors	Organised Farmers	Households of all literates	Male Dominated	4 Members	27000	0	0	0	0	0	0	27000	0	0	0	0	0	0	27000	0	0
14846617	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Balanced households with no Seniors	Business & Salaried Employees	Graduates minority household	Male Dominated	4 Members	38000	38000	38000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78248210	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Balanced households with no Seniors	Organised Farmers	Matriculates majority household	Balanced	4 Members	28000	0	0	0	0	0	0	28000	0	0	0	0	0	0	28000	0	0
78111630	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Balanced households with no Seniors	Self-employed Entrepreneurs	All Matriculates household	Female Dominated	4 Members	17000	17000	17000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53529270	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	Jan 2022	Sep 2021	Non-Response	Locked	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
15094346	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
47972025	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
27779419	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
10655277	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
79350401	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
85816179	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
25351536	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
30037239	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
82719262	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
38052200	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
90178552	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
73143176	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
17469058	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
48392663	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
18200013	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
17305081	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9715	Jan 2022	Sep 2021	Non-Response	Could not be executed	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
31216012	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Balanced households with no Seniors	Agricultural Labourers	Households of all literates	Balanced	4 Members	7000	7000	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17367492	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Organised Farmers	Matriculates minority household	Female Majority	6 Members	1000	0	0	0	0	0	0	1000	0	0	0	1000	0	0	0	0	0
27327004	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Balanced households with no Seniors	Wage Labourers	Households of all literates	Balanced	4 Members	14000	14000	14000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
96981533	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Youngsters - dominant	Wage Labourers	Households of all literates	Male Majority	5 Members	14000	14000	14000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10738026	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Youngsters - dominant	Self-employed Entrepreneurs	Households of all literates	Male Dominated	5 Members	31000	31000	31000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19082595	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Balanced households with no Seniors	Agricultural Labourers	Households of all literates	Only Females	2 Members	9800	9000	9000	0	0	0	0	800	0	0	0	800	0	0	0	0	0
13505457	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Non-Response	Locked	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
78486233	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Non-Response	Refused	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
11816033	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Wage Labourers	Households of all literates	Balanced	2 Members	14000	14000	14000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25193478	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Wage Labourers	All Matriculates household	Balanced	2 Members	14000	14000	14000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73993680	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Wage Labourers	Matriculates minority household	Male Majority	5 Members	15600	14000	14000	0	0	0	0	1600	0	0	0	1600	0	0	0	0	0
64324529	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Other households of the Young	Wage Labourers	Households of all literates	Balanced	4 Members	15000	15000	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44302032	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Balanced households with no Seniors	Organised Farmers	Households of all literates	Male Dominated	4 Members	27000	0	0	0	0	0	0	27000	0	0	0	0	0	0	27000	0	0
18810757	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Self-employed Entrepreneurs	Matriculates majority household	Balanced	2 Members	17000	17000	17000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58199714	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Non-Response	Locked	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
16433876	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9746	Jan 2022	Sep 2021	Non-Response	Refused	Data Not Available	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Data Not Available	Data Not Available	Data Not Available	Data Not Available	Data Not Available	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
48609006	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Agricultural Labourers	Households of all literates	Balanced	2 Members	9000	9000	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38994249	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Wage Labourers	Households of all literates	Balanced	2 Members	14000	14000	14000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28037412	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Organised Farmers	Households of all literates	Male Majority	3 Members	27000	0	0	0	0	0	0	27000	0	0	0	0	0	0	27000	0	0
46679417	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Wage Labourers	Households of all literates	Female Majority	3 Members	14000	14000	14000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18526243	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Self-employed Entrepreneurs	Matriculates majority household	Balanced	2 Members	23000	23000	23000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19209381	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Balanced households with no Seniors	Self-employed Entrepreneurs	Households of all literates	Only Males	2 Members	31000	31000	31000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98793998	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Organised Farmers	Matriculates majority household	Balanced	2 Members	12000	12000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82312350	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Self-employed Entrepreneurs	All Matriculates household	Balanced	2 Members	24000	24000	24000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51356901	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Wage Labourers	Households of all literates	Balanced	2 Members	12000	12000	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52980437	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Self-employed Entrepreneurs	Households of all literates	Balanced	2 Members	23000	23000	23000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39476459	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Organised Farmers	Households of all literates	Male Majority	3 Members	25000	0	0	0	0	0	0	25000	0	0	0	0	0	0	25000	0	0
10266177	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Agricultural Labourers	Households of all literates	Male Majority	3 Members	13000	13000	13000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24462687	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Self-employed Entrepreneurs	Households of all literates	Balanced	2 Members	15000	15000	15000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31513438	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Organised Farmers	Households of all literates	Female Majority	3 Members	24000	0	0	0	0	0	0	24000	0	0	0	0	0	0	24000	0	0
67818930	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Organised Farmers	Matriculates majority household	Balanced	2 Members	27000	0	0	0	0	0	0	27000	0	0	0	0	0	0	27000	0	0
11575553	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11753	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Industrial Workers	All Matriculates household	Balanced	2 Members	20000	20000	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58517591	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_11754	Jan 2022	Sep 2021	Accepted	No Failure	N	3917.21422	3917.21422	3917.21422	1.586207	1.586207	1.586207	Grown-up - dominant	Organised Farmers	Households of all literates	Balanced	2 Members	24000	0	0	0	0	0	0	24000	0	0	0	0	0	0	24000	0	0
