WAVE_NO	HH_ID	MEM_ID	STATE	HR	DISTRICT	REGION_TYPE	STRATUM	PSU_ID	MONTH_SLOT	RESPONSE_STATUS	REASON_FOR_NON_RESPONSE	FAMILY_SHIFTED	MEM_WEIGHT_W	MEM_WEIGHT_FOR_COUNTRY_W	MEM_WEIGHT_FOR_STATE_W	GE15_MEM_WEIGHT_W	GE15_MEM_WEIGHT_FOR_COUNTRY_W	GE15_MEM_WEIGHT_FOR_STATE_W	MEM_NON_RESPONSE_W	MEM_NON_RESPONSE_FOR_COUNTRY_W	MEM_NON_RESPONSE_FOR_STATE_W	GE15_MEM_NON_RESPONSE_W	GE15_MEM_NON_RESPONSE_FOR_COUNTRY_W	GE15_MEM_NON_RESPONSE_FOR_STATE_W	MEMBER_STATUS	REASON_FOR_EMIGRATION_IMMIGRATION	EMIGRATED_IMMIGRATED_FROM_TO_STATE	EMIGRATED_IMMIGRATED_FROM_TO_DISTRICT	EMIGRATED_IMMIGRATED_FROM_TO_REGION_TYPE	WILL_EMIGRATE	WILL_EMIGRATE_REASON	TIME_TO_EMIGRATE	WILL_EMIGRATE_STATE	WILL_EMIGRATE_DISTRICT	WILL_EMIGRATE_REGION_TYPE	GENDER	AGE_YRS	AGE_MTHS	RELATION_WITH_HOH	MARITAL_STATUS	STATE_OF_ORIGIN	RELIGION	CASTE	CASTE_CATEGORY	LITERACY	EDUCATION	DISCIPLINE	HAS_DIPLOMA	DISCIPLINE_OF_DIPLOMA	NATURE_OF_OCCUPATION	INDUSTRY_OF_OCCUPATION	OCCUPATION	EMPLOYMENT_STATUS	EMPLOYMENT_STATUS_SINCE_YRS	EMPLOYMENT_STATUS_SINCE_MTHS	EMPLOYMENT_STATUS_SINCE_DAYS	TYPE_OF_EMPLOYMENT	EMPLOYMENT_ARRANGEMENT	PLACE_OF_WORK	TIME_TO_START_WORKING	TIME_SPENT_ON_WORK_FOR_HH_AND_MEM	TIME_SPENT_ON_WORK_FOR_EMPLOYER	TIME_SPENT_ON_WORK_AS_UNPAID_TRAINEE	TIME_SPENT_ON_WORK_AS_UNPAID_VOLUNTEER	TIME_SPENT_ON_TRAVEL	TIME_SPENT_ON_LEARNING	TIME_SPENT_ON_RELIGIOUS_ACTIVITIES	TIME_SPENT_ON_OUTDOOR_SPORTS	TIME_SPENT_ON_HANGING_OUT_OR_WITH_FRIENDS	TIME_SPENT_ON_INDOOR_ENTERTAINMENT	TIME_SPENT_ON_OTHER_ACTIVITIES_FOR_SELF	IS_HEALTHY	IS_ON_REGULAR_MEDICATION	IS_HOSPITALISED	HAS_BANK_AC	HAS_CREDITCARD	HAS_KISAN_CREDITCARD	HAS_DEMAT_AC	HAS_PF_AC	HAS_LIC	HAS_HEALTH_INSURANCE	HAS_MOBILE
26	73429517	4	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Emigrated	Family split	Karnataka	Chitradurga	URBAN	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
26	73429517	5	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	F	30	0	Spouse	Married	Karnataka	Hindu	Naikda	ST	Y	6th Std. Pass	Not Applicable	N	Not Applicable	Home Maker	Not Applicable	Home Makers	Unemployed, not willing and not looking for a job	8	-100	-100	Not Applicable	Not Applicable	Not Applicable	Never	1.0	-100.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	16.0	Y	N	N	Y	N	N	N	N	N	N	Y
26	73429517	6	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Emigrated	Family split	Karnataka	Chitradurga	URBAN	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
26	73429517	7	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	0.0	0.0	0.0	1.216056	1.216056	1.216056	0.0	0.0	0.0	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	F	6	0	Daughter	Not Applicable	Karnataka	Hindu	Naikda	ST	Not Applicable	1st Std. Pass	Not Applicable	Not Applicable	Not Applicable	Student	Not Applicable	Not Applicable	Not Applicable	-100	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	Y	N	N	N	Not Applicable	Not Applicable	N	Not Applicable	N	N	N
26	31941083	1	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	M	55	0	HOH	Married	Karnataka	Hindu	Naikda	ST	Y	4th Std. Pass	Not Applicable	N	Not Applicable	Organised Farmer	Crop Cultivation	(Organised crop farmers) Crop cultivators, vegetable cultivators, fruit growers, Floriculturists	Employed	22	-100	-100	Full-time	Self-employed not on digital platform	Own-farm	Not Applicable	1.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	10.0	Y	N	N	Y	N	Y	N	N	Y	Y	Y
26	31941083	2	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	F	50	0	Spouse	Married	Karnataka	Hindu	Naikda	ST	Y	6th Std. Pass	Not Applicable	N	Not Applicable	Home Maker	Not Applicable	Home Makers	Unemployed, not willing and not looking for a job	20	-100	-100	Not Applicable	Not Applicable	Not Applicable	Never	1.0	-100.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	16.0	Y	N	N	Y	N	N	N	N	N	Y	N
26	31941083	3	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	M	25	0	Son	Unmarried	Karnataka	Hindu	Naikda	ST	Y	Graduate	Commerce	N	Not Applicable	Industrial Workers	Textile Industries	Industrial and machine workers	Employed	6	-100	-100	Full-time	Salaried - Permanent	Company - factory	Not Applicable	1.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	12.0	Y	N	N	Y	N	N	N	Y	Y	Y	Y
26	31941083	4	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	M	22	0	Son	Unmarried	Karnataka	Hindu	Naikda	ST	Y	Graduate	Science	N	Not Applicable	Student	Not Applicable	Students	Unemployed, not willing and not looking for a job	4	-100	-100	Not Applicable	Not Applicable	Not Applicable	24 months or more	1.0	-100.0	0.0	0.0	1.0	6.0	0.0	0.0	1.0	1.0	14.0	Y	N	N	Y	N	N	N	N	N	Y	Y
26	15406947	1	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	M	60	0	HOH	Married	Karnataka	Hindu	Naikda	ST	Y	10th Std. Pass	Not Applicable	N	Not Applicable	Retired/Aged	Not Applicable	Retired/Aged	Unemployed, not willing and not looking for a job	22	-100	-100	Not Applicable	Not Applicable	Not Applicable	Never	1.0	-100.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	16.0	Y	N	N	Y	N	N	N	N	Y	Y	Y
26	15406947	2	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	4443.002989	4443.002989	4443.002989	4385.367817	4385.367817	4385.367817	1.216056	1.216056	1.216056	1.19784	1.19784	1.19784	Member of the household	Not Applicable	Not Applicable	Not Applicable	Not Applicable	N	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	F	55	0	Spouse	Married	Karnataka	Hindu	Naikda	ST	Y	8th Std. Pass	Not Applicable	N	Not Applicable	Self Employed Entrepreneur	Retail Trade	Smaller businessmen (smaller shops or offices), Shopkeepers, small dhaba owners	Employed	20	-100	-100	Full-time	Self-employed not on digital platform	Own - establishments/shops/vehicles	Not Applicable	1.0	10.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	10.0	Y	N	N	Y	N	N	N	N	N	Y	Y
26	15406947	3	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Emigrated	Family split	Karnataka	Chitradurga	URBAN	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
26	15406947	4	Karnataka	HR 59	Chitradurga	RURAL	HR 59_RURAL_R	PSU_ID_9714	May 2022	Accepted	No Failure	N	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Emigrated	Family split	Karnataka	Chikmagalur	URBAN	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100	-100	-100	Not Applicable	Not Applicable	Not Applicable	Not Applicable	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	-100.0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
